sampleID,Mouse,Time,Collinsella-aerofaciens,Clostridium-hiranonis,Clostridium-difficile,Proteus-mirabilis,Clostridium-scindens,Ruminococcus-obeum,Clostridium-ramosum,Bacteroides-ovatus,Akkermansia-muciniphila,Parabacteroides-distasonis,Bacteroides-fragilis,Bifidobacterium-longum,Bacteroides-vulgatus,Enterococcus-faecalis,Prevotella-melaninogenica,Klebsiella-oxytoca,Lactobacillus-fermentum,Lactobacillus-reuteri,Roseburia-hominis,Staphylococcus-epidermidis,Propionibacterium-acnes,Escherichia-coli,Streptococcus-mitis
1,1,0.75,0,1483,0,1330,1065,30,3259,7454,813,38,3391,0,20904,104,0,22068,1,40,5,0,1,2938,0
2,1,1.0,0,1416,0,1327,460,408,4548,16240,5942,76,4339,0,17861,110,0,18049,1,24,90,0,1,2794,0
3,1,2.0,0,1038,0,1092,199,1405,5325,22250,27211,166,5116,0,8817,49,0,8956,0,73,1515,0,0,2651,0
4,1,3.0,0,84,0,726,98,312,3172,10575,17139,445,1791,0,2670,7,0,2748,0,22,1057,0,0,997,0
5,1,4.0,0,101,0,1271,209,754,5956,18852,22484,878,3846,0,4706,4,0,1728,0,10,1557,0,0,2315,0
6,1,6.0,0,72,1,1602,343,1322,5733,22060,25420,1186,7295,0,1089,6,0,1760,0,0,1367,0,0,2639,0
7,1,8.0,0,46,0,1290,195,1301,2105,17997,21199,1175,5972,0,1644,1,0,1461,0,0,1305,0,0,1972,1
8,1,10.0,0,55,0,1375,234,1931,3524,25516,25422,1469,9038,0,2266,6,0,1265,0,1,1736,0,0,3347,0
9,1,14.0,0,89,0,670,120,2064,3008,18681,18389,1053,10437,0,833,1,0,925,0,0,2462,0,0,3513,0
10,1,17.0,0,102,0,1093,255,3734,5863,29824,30665,2463,15401,0,3184,1,0,2309,0,0,2985,0,0,6160,0
11,1,21.0,0,115,0,1345,194,2338,3943,38292,36988,2184,8119,1,7118,2,0,2013,0,0,2745,0,0,4164,1
12,1,24.0,0,56,0,1025,120,1555,2903,18553,25254,2140,5698,0,4100,1,0,1216,0,0,1531,0,0,2755,0
13,1,28.0,0,102,0,1490,154,1835,2237,34647,33251,2551,12010,1,8617,4,0,2461,0,0,2388,0,0,4796,1
